"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Comoros","58.5","68.6","69.2","65.4","78.6","67.3","68.1","72.4","68.1","62.7","62.6","62.9","57.6","48.3","43.3","45.6"
"Congo","58.8","71.0","71.2","59.1","60.7","55.4","48.8","63.1","42.0","35.9","30.7","27.1","21.1","16.6","20.0","16.9"
"Cook Islands","461.3","597.5","552.1","528.0","532.6","478.2","399.8","401.5","429.2","351.9","386.4","331.0","270.9","212.0","177.6","162.7"
"Costa Rica","929.1","868.3","876.6","812.1","775.6","663.9","537.0","518.6","430.1","365.5","314.3","294.0","291.1","279.2","255.6","249.1"
"Côte d'Ivoire","75.5","79.1","72.2","75.3","73.4","75.0","75.8","76.1","66.7","55.3","49.9","48.0","40.2","31.8","31.9","36.4"
"Croatia","852.1","1005.6","988.8","1029.4","1131.1","1125.4","1187.4","1259.0","1041.6","815.9","726.5","634.5","512.2","386.5","387.6","370.5"
"Cuba","826.3","724.9","563.5","533.4","725.4","667.4","511.9","535.3","482.1","386.4","380.6","231.8","226.8","213.0","198.1","176.5"
"Cyprus","1563.3","1847.6","1920.3","1942.2","2153.4","1958.8","2105.0","2156.7","1641.7","1432.2","1328.4","1258.2","1123.6","890.5","782.6","751.1"
"Czechia","1284.0","1512.9","1554.5","1387.4","1516.6","1373.9","1442.2","1449.3","1110.2","942.1","852.7","746.3","640.7","497.7","388.5","342.9"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","19.8","19.4","16.3","14.3","12.6","12.9","15.2","12.3","9.3","8.0","6.6","6.2","5.4","4.5","5.9","18.4"
"Denmark","5497.4","6424.4","6262.8","6020.2","6308.1","6036.2","6221.7","6137.8","5468.4","4778.9","4442.8","4194.9","3607.0","2895.8","2602.6","2496.0"
"Djibouti","81.7","72.0","66.5","71.2","67.8","55.5","54.7","53.5","50.2","47.2","41.0","40.3","46.2","40.2","31.1","32.0"
"Dominica","383.7","374.7","354.5","363.1","324.2","349.9","340.3","299.7","282.1","255.1","240.7","229.9","229.2","227.8","227.3","225.4"
"Dominican Republic","396.7","376.6","356.9","351.5","326.6","299.7","250.4","233.7","193.8","161.7","167.4","104.7","95.5","125.0","120.9","115.4"
"Ecuador","530.1","555.9","518.4","477.8","405.6","350.2","283.0","259.8","210.6","190.6","168.6","150.3","132.4","97.4","71.2","48.1"
"Egypt","156.6","153.8","140.3","143.4","123.3","111.4","104.9","95.6","77.7","70.2","62.8","53.1","53.0","67.2","72.0","72.5"
"El Salvador","283.2","271.1","269.5","256.6","254.3","240.2","230.0","217.9","208.7","204.5","203.8","192.0","184.2","184.8","182.9","178.8"
"Equatorial Guinea","280.0","337.3","349.4","311.4","289.3","262.5","278.9","300.0","232.3","187.1","79.8","68.1","47.7","31.5","57.8","50.8"
"Eritrea","30.9","27.9","24.2","22.5","19.8","17.7","17.2","15.2","13.0","15.8","14.7","15.6","13.2","11.1","11.4","11.8"
"Estonia","1112.0","1238.5","1146.2","1015.3","1016.3","927.7","963.9","1039.6","833.8","619.8","512.3","450.7","350.5","251.2","215.4","210.4"
"Eswatini","232.7","252.5","264.5","284.3","330.4","313.2","209.5","200.8","185.2","178.2","165.0","132.7","102.5","60.8","65.7","75.5"
"Ethiopia","24.3","22.5","20.1","20.9","15.3","16.8","14.8","13.4","11.5","8.2","6.6","5.8","5.8","5.2","5.6","5.4"
"Fiji","174.9","184.7","165.1","160.8","148.2","135.2","129.1","144.1","150.9","136.0","129.1","117.6","91.3","73.0","64.2","77.0"
"Finland","4005.5","4731.9","4711.7","4405.4","4545.2","4097.6","4179.0","4317.2","3778.9","3291.3","3116.7","2932.3","2514.5","1974.8","1740.2","1658.1"
"France","4026.1","4779.2","4679.1","4447.7","4725.4","4385.4","4523.6","4614.3","4168.0","3693.6","3573.6","3452.4","2999.6","2438.2","2190.8","2156.5"
"Gabon","197.9","245.5","275.0","236.6","274.1","216.7","263.4","257.6","240.8","204.2","187.4","186.0","169.6","132.4","127.7","119.4"
"Gambia","31.9","31.0","29.9","31.0","32.1","32.3","31.8","36.0","29.7","24.0","21.2","18.1","15.2","16.6","20.1","23.0"
"Georgia","280.9","348.8","334.9","323.0","290.4","262.5","247.0","255.9","177.2","136.8","118.7","94.0","71.9","59.1","50.8","47.9"
"Germany","4591.8","5293.4","5103.5","4761.3","5030.8","4696.7","4742.3","4730.1","4240.5","3746.2","3614.7","3506.3","3182.6","2580.0","2363.1","2355.5"
"Ghana","79.6","76.8","104.6","89.0","95.9","85.5","70.7","78.4","67.5","57.0","51.2","35.2","30.8","25.4","24.8","21.9"
"Greece","1504.8","1715.8","1817.0","1944.8","2354.0","2573.8","2816.1","3007.2","2614.7","2226.6","2032.1","1744.0","1516.5","1163.3","1003.9","885.4"
"Grenada","460.3","451.3","446.9","439.3","452.2","451.5","445.9","455.8","416.2","394.3","355.9","299.5","301.4","304.5","274.0","261.0"
"Guatemala","224.4","228.8","214.8","206.7","196.8","181.1","174.4","182.3","167.0","156.4","137.7","126.2","119.4","113.5","105.4","85.8"
"Guinea","25.1","24.2","25.1","22.9","23.3","19.5","18.7","18.6","18.7","12.6","13.7","17.8","18.7","19.3","16.5","17.0"
"Guinea-Bissau","39.5","43.9","32.2","31.2","37.4","33.5","35.8","39.9","32.8","26.9","26.7","27.0","20.5","16.0","18.8","21.2"
"Guyana","184.5","207.2","196.4","183.0","169.0","140.6","124.9","107.3","93.9","77.6","58.9","52.8","51.1","46.7","42.6","41.5"
"Haiti","53.6","59.0","58.2","76.7","78.4","68.5","57.3","50.6","42.4","28.5","24.7","23.5","18.2","21.8","26.6","29.6"
"Honduras","176.6","172.5","175.9","183.7","162.0","159.0","154.1","143.1","124.9","108.6","95.8","82.6","79.1","71.0","67.6","68.9"
"Hungary","893.7","1007.0","990.6","961.1","1063.4","983.1","943.7","1117.2","1003.3","893.2","895.2","798.5","682.9","473.1","359.7","313.1"
"Iceland","4375.4","4609.4","4157.8","3852.9","3975.2","3671.4","3656.7","4814.4","5964.1","4995.0","5197.9","4475.2","3937.0","3067.3","2538.0","2866.0"
"India","63.3","57.2","56.2","49.1","48.7","45.3","38.4","38.0","36.0","29.7","27.8","25.1","22.1","20.3","19.9","18.6"
"Indonesia","111.8","120.1","122.0","124.5","121.5","107.5","63.9","60.7","57.1","45.4","34.8","26.6","26.1","19.3","16.7","15.6"
"Iran (Islamic Republic of)","366.0","382.7","413.7","519.3","524.7","440.9","367.6","299.4","246.0","197.9","173.2","141.0","115.4","104.7","93.7","80.2"
"Iraq","154.5","186.9","194.8","178.9","163.4","145.5","163.1","129.7","97.2","56.7","53.6","53.5","28.2","No data","No data","No data"
"Ireland","4757.1","5516.1","5429.9","4957.5","5229.3","5128.5","5480.8","5616.0","4852.2","4143.4","3936.6","3476.9","2904.4","2190.0","1822.1","1561.0"
"Israel","2756.1","2889.1","2655.4","2383.4","2419.3","2218.4","2022.9","2129.0","1784.6","1581.0","1537.7","1471.5","1417.6","1387.6","1541.6","1496.9"
"Italy","2700.4","3190.1","3195.6","3125.6","3387.6","3214.5","3324.4","3490.0","3088.5","2830.2","2676.5","2561.0","2158.2","1754.3","1585.3","1520.5"
"Jamaica","294.3","268.6","291.6","274.1","279.7","252.4","226.8","269.9","234.9","189.0","168.9","179.5","158.4","174.9","181.1","195.5"
"Japan","3732.6","4099.5","4336.1","5212.1","5087.1","4060.2","3685.8","3213.4","2772.5","2754.2","2883.1","2875.7","2642.0","2404.5","2479.6","2740.5"
"Jordan","257.4","301.5","293.5","309.4","317.6","308.7","331.8","296.4","229.3","204.4","195.2","186.0","172.2","175.0","170.8","159.8"
"Kazakhstan","379.1","459.2","491.9","464.1","393.6","363.9","295.5","305.0","211.3","192.8","150.0","111.5","75.3","58.9","51.1","50.5"
"Kenya","70.1","73.0","69.9","65.3","54.8","61.9","49.0","44.3","42.2","32.4","26.3","23.2","22.6","21.8","21.7","21.2"
"Kiribati","108.4","161.4","161.5","153.7","148.9","139.9","177.2","201.5","156.8","135.0","139.9","140.2","108.2","96.7","89.3","68.9"
"Kuwait","1168.8","1375.0","1251.4","1319.3","1263.8","1061.4","1454.5","1074.3","976.8","962.6","843.9","742.3","713.2","635.4","596.7","462.6"
"Kyrgyzstan","92.1","107.5","105.7","100.8","80.6","62.6","61.3","64.4","50.8","45.9","36.1","27.2","22.3","14.8","13.2","12.3"
"Lao People's Democratic Republic","53.0","46.4","44.1","33.0","27.5","35.0","36.7","26.4","24.8","25.0","22.8","20.7","17.9","13.4","14.6","14.5"
"Latvia","783.8","1224.8","1151.0","1068.9","1074.7","972.9","1058.6","1308.0","1155.0","794.2","633.0","565.3","402.7","339.7","292.9","258.8"
"Lebanon","645.2","654.9","676.5","713.6","711.6","659.4","593.0","553.7","520.1","470.1","407.0","438.1","456.5","494.9","544.5","569.1"
"Lesotho","90.9","103.0","98.4","102.5","102.6","79.7","82.8","72.1","68.2","51.7","44.2","44.3","35.7","23.8","28.2","28.5"
"Liberia","69.3","64.6","41.6","38.5","40.0","32.7","32.1","25.6","21.6","14.4","14.3","11.8","4.6","5.2","6.4","7.0"
"Libya","No data","No data","No data","No data","312.6","400.5","355.7","321.4","275.7","235.0","212.3","202.0","189.8","181.1","254.0","244.8"
"Lithuania","923.3","1018.9","959.2","897.0","925.1","805.1","864.7","936.6","704.2","536.2","438.6","366.9","342.5","256.6","212.3","204.4"
"Luxembourg","6236.0","7557.2","7535.9","7096.7","7165.4","7451.6","7639.6","7547.6","6661.9","6066.4","5817.1","5601.1","4596.1","3583.5","3106.1","2894.0"
"Madagascar","21.0","22.1","18.6","16.9","22.8","22.2","21.1","21.8","19.9","16.4","15.1","13.5","15.2","15.4","16.0","13.1"
"Malawi","34.2","34.4","38.5","31.8","38.4","33.2","34.8","32.1","24.5","20.6","17.0","15.7","12.2","11.3","5.4","6.7"
"Malaysia","385.6","435.1","399.7","391.3","361.5","302.0","259.1","272.6","244.9","210.0","169.1","158.9","144.7","122.0","112.7","105.8"
"Maldives","943.9","988.5","772.6","550.6","663.6","593.8","645.2","707.7","463.5","361.6","308.8","289.7","221.3","218.4","222.7","163.7"
"Mali","42.3","47.9","42.2","34.2","34.2","31.4","32.7","33.1","31.3","27.4","24.3","22.9","18.2","14.5","13.2","13.7"
"Malta","2304.2","2487.2","2128.6","1899.4","1960.5","1733.1","1677.4","1751.9","1595.9","1475.7","1381.3","1223.6","1075.2","831.4","682.3","641.2"
"Marshall Islands","747.0","650.1","703.7","657.2","627.6","607.5","611.2","637.2","661.2","758.1","696.9","545.4","463.4","456.8","472.2","535.3"
"Mauritania","53.6","55.5","51.9","45.7","44.0","40.1","40.8","44.9","36.8","32.1","31.2","28.6","27.0","23.9","21.5","21.3"
"Mauritius","506.1","538.6","443.7","398.2","396.6","367.1","310.1","321.8","235.8","209.1","197.7","189.9","162.0","135.9","119.5","119.0"
"Mexico","534.8","593.4","617.9","580.7","565.1","538.7","477.6","556.5","542.8","501.0","472.1","435.3","401.5","375.2","353.9","309.6"
"Micronesia (Federated States of)","394.9","379.1","363.5","377.3","387.5","371.0","338.1","299.5","270.5","256.0","270.9","234.7","218.7","177.5","189.3","168.4"
"Monaco","3315.8","3865.6","3711.7","3397.9","3533.6","3369.8","3397.8","3476.5","2989.1","2690.3","2632.6","2585.0","2229.7","1569.3","1436.0","1410.9"
"Mongolia","152.5","160.0","175.4","160.9","129.5","96.0","71.3","89.4","63.7","46.8","42.2","34.0","28.7","29.2","26.5","27.5"
"Montenegro","382.1","430.0","430.4","400.8","423.3","388.2","367.7","448.9","390.9","315.9","281.9","266.4","231.6","160.3","143.5","108.0"
"Morocco","159.8","181.4","178.4","169.5","176.9","168.7","169.6","155.2","137.3","109.9","97.3","93.4","79.4","63.4","55.8","53.6"
"Mozambique","28.3","34.4","28.5","30.6","23.4","21.5","23.0","23.2","22.9","23.3","23.4","16.8","14.9","10.1","10.6","9.9"
"Myanmar","59.1","62.4","23.9","23.3","19.3","15.3","13.7","10.4","7.0","5.6","5.2","4.8","4.7","5.2","3.4","3.3"
"Namibia","423.1","442.4","474.0","528.3","544.2","491.5","341.0","397.0","459.3","471.0","443.1","362.0","275.2","177.3","187.7","207.5"
"Nauru","812.0","907.3","688.8","857.8","693.9","664.6","562.5","815.3","605.1","361.8","326.8","317.0","343.6","294.4","270.4","292.0"
"Nepal","44.4","41.4","37.0","33.5","34.3","30.0","21.2","19.2","17.5","14.0","14.5","13.3","11.5","10.9","10.8","8.6"
"Netherlands","4746.0","5675.6","5628.6","5402.5","5645.3","5249.4","5326.7","5427.7","4739.8","4084.6","3857.7","3409.7","2986.7","2298.5","1985.5","1836.2"
"New Zealand","3553.6","4132.4","3967.2","3825.1","3646.6","3239.9","2714.0","2848.0","2699.3","2301.9","2295.2","1983.7","1610.9","1246.3","1049.4","1053.9"
"Nicaragua","162.9","149.3","134.6","133.2","119.1","99.1","105.3","100.3","87.3","70.4","64.8","58.7","49.2","54.0","53.9","53.0"
"Niger","25.7","25.2","25.3","23.5","24.2","21.8","23.3","23.8","20.4","19.2","17.8","14.0","12.0","10.5","9.4","8.6"
