"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Spain","2353.9","2686.9","2628.5","2589.0","2898.9","2778.4","2914.0","2967.7","2588.5","2228.2","2051.8","1915.4","1632.5","1169.1","1044.1","1002.8"
"Sri Lanka","117.9","109.8","100.4","87.3","94.7","83.4","77.5","72.4","59.4","53.6","47.3","41.9","35.9","35.3","33.9","36.0"
"Sudan","151.8","110.8","117.7","95.3","116.1","103.9","105.7","102.0","100.1","67.4","45.0","35.5","27.4","20.2","18.4","16.9"
"Suriname","577.5","553.2","539.1","529.9","466.0","450.4","430.4","394.6","320.4","328.4","277.7","241.5","209.3","188.8","118.9","168.8"
"Sweden","5600.1","6628.5","6723.1","6273.5","6386.7","4437.1","4151.8","4652.8","4321.8","3788.7","3573.5","3513.3","3134.5","2477.2","2170.0","2173.2"
"Switzerland","9818.0","10005.5","9679.7","9278.1","9568.2","8018.8","7276.7","7104.0","6126.0","5642.7","5636.6","5570.2","5001.9","4190.5","3748.5","3540.8"
"Syrian Arab Republic","No data","No data","No data","70.1","81.5","93.8","91.9","87.8","76.7","66.3","63.4","65.6","68.2","63.9","58.5","54.2"
"Tajikistan","63.0","74.3","65.9","57.4","49.7","43.1","39.5","41.7","28.8","20.2","17.6","14.8","11.1","8.0","7.3","6.0"
"Thailand","217.1","219.4","213.0","206.4","195.9","172.1","152.5","151.5","126.8","104.4","91.4","83.5","76.5","69.9","57.3","62.3"
"The former Yugoslav republic of Macedonia","295.4","335.1","321.9","295.8","332.5","316.3","314.1","333.1","278.7","257.8","242.6","239.5","221.8","168.5","66.9","71.6"
"Timor-Leste","71.7","77.7","78.6","70.1","63.1","51.4","48.6","41.9","28.6","26.0","23.8","18.8","14.5","12.6","No data","No data"
"Togo","36.6","40.1","38.3","34.5","34.6","30.9","26.1","23.7","19.5","16.6","15.8","14.9","13.5","11.0","9.8","9.8"
"Tonga","221.4","216.0","207.4","221.7","194.8","177.7","143.5","203.5","162.0","159.3","120.3","110.5","83.1","78.3","71.1","79.9"
"Trinidad and Tobago","1146.2","1076.1","1038.1","954.3","896.1","801.1","864.4","861.2","729.4","594.0","603.9","470.2","410.4","323.4","288.5","258.7"
"Tunisia","258.0","291.0","287.9","273.3","273.8","243.6","234.2","233.5","205.1","181.5","172.4","169.8","150.9","126.0","115.0","111.8"
"Turkey","454.6","527.2","552.4","524.8","531.7","539.3","500.1","570.7","512.7","416.9","364.9","299.6","238.7","186.7","153.6","199.5"
"Turkmenistan","405.1","437.8","376.2","318.8","276.7","221.8","194.3","255.5","281.9","374.2","345.1","319.3","208.9","132.3","123.7","76.6"
"Tuvalu","439.2","497.1","491.7","488.5","506.9","440.5","328.8","308.1","280.1","252.4","236.5","220.0","265.0","205.1","259.0","358.0"
"Uganda","46.1","52.9","49.6","53.3","53.7","62.7","48.5","51.3","47.1","40.2","35.8","29.3","21.8","22.1","20.3","18.8"
"Ukraine","125.0","182.6","281.9","262.5","223.3","188.7","168.2","215.7","185.8","148.3","116.3","84.6","68.9","52.9","44.8","35.1"
"United Arab Emirates","1402.0","1613.4","1556.3","1441.6","1484.0","1359.0","1339.4","1340.0","1094.8","985.3","915.1","890.3","879.4","851.0","771.7","781.8"
"United Kingdom of Great Britain and Northern Ireland","4355.8","4566.7","4193.7","3532.1","3501.5","3306.8","3272.6","3615.6","3756.3","3262.6","3017.1","2835.8","2347.6","1964.8","1736.5","1672.5"
"United Republic of Tanzania","31.7","38.2","39.8","40.5","38.4","36.1","32.5","35.3","35.5","35.0","27.2","23.1","20.1","16.8","14.9","12.6"
"United States of America","9535.9","9059.5","8634.6","8432.5","8160.8","7949.9","7696.5","7420.1","7176.6","6820.6","6453.1","6101.5","5738.9","5330.0","4912.7","4561.9"
"Uruguay","1281.3","1405.7","1431.3","1286.5","1181.1","1001.9","797.7","719.8","556.6","526.0","450.8","378.8","365.1","401.0","607.5","624.0"
"Uzbekistan","133.9","122.6","112.0","103.1","86.7","74.3","61.1","51.2","40.0","35.3","28.8","24.2","21.2","20.5","24.3","29.3"
"Vanuatu","99.0","113.8","172.5","84.6","74.1","82.3","53.9","35.4","33.9","40.4","35.9","36.6","27.0","21.3","23.7","20.2"
"Venezuela (Bolivarian Republic of)","973.0","569.5","429.9","474.2","519.9","614.1","590.4","495.1","376.7","277.9","219.8","179.2","142.1","161.1","229.8","210.3"
"Viet Nam","116.7","116.4","119.2","111.6","87.3","76.7","62.6","57.4","48.2","41.2","34.0","28.0","21.7","19.0","22.6","18.4"
"Yemen","72.0","79.7","78.4","73.8","64.6","67.7","65.9","69.6","58.0","49.9","42.4","38.2","34.8","27.3","26.5","25.2"
"Zambia","69.4","87.1","89.9","81.6","79.3","67.4","49.0","55.8","42.4","50.8","46.3","37.4","30.9","25.6","24.8","24.5"
"Zimbabwe","94.3","81.9","68.8","70.0","71.1","77.6","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
